"id","response"
"bar8","40"
"bar20","100"
"pie17","90"
"pie15","80"
"bar13","75"
"bubble19","100"
"pie1","5"
"pie3","8"
"bubble2","10"
"pie11","30"
"bubble5","20"
"pie13","50"
"bar2","10"
"pie14","70"
"bubble14","95"
"bubble10","90"
"pie4","10"
"pie20","100"
"pie6","20"
"pie18","100"
"bar4","20"
"bubble13","90"
"bar6","30"
"bar3","10"
"bar17","85"
"pie12","50"
"bubble4","30"
"bar10","40"
"bubble17","100"
"bar1","5"
"bubble18","100"
"bubble11","80"
"bubble9","10"
"pie19","100"
"bar5","20"
"bar9","40"
"bubble16","100"
"bar19","99"
"bubble1","5"
"pie10","30"
"pie16","100"
"bar14","97"
"bar12","60"
"bubble12","95"
"bar15","75"
"bar7","30"
"bar16","80"
"pie7","25"
"bar11","50"
"pie8","30"
"bubble3","10"
"bubble7","80"
"bar18","95"
"pie2","5"
"bubble20","100"
"bubble6","30"
"bubble15","90"
"bubble8","50"
"pie9","30"
"pie5","15"
