UserID,TrialNumber,Chart,Actual,Response,Accuracy
GCYo2p,1,radial_bar_chart,26.26262626,25,0.4726190509
GCYo2p,2,pie_chart,27.63157895,25,1.46287892
GCYo2p,3,radial_bar_chart,80.48780488,85,2.213252433
GCYo2p,4,radial_bar_chart,37.17948718,33,2.105841371
GCYo2p,5,radial_bar_chart,55.05617978,60,2.341649997
GCYo2p,6,pie_chart,66.03773585,90,4.590198635
GCYo2p,7,pie_chart,84.61538462,95,3.393637968
GCYo2p,8,radial_bar_chart,37.5,40,1.392317423
GCYo2p,9,pie_chart,58.10810811,70,3.586991893
GCYo2p,10,bar_chart,38.0952381,33,2.38411561
GCYo2p,11,bar_chart,15.2173913,10,2.41748565
GCYo2p,12,bar_chart,28.57142857,25,1.886132035
GCYo2p,13,bar_chart,90.90909091,95,2.075843758
GCYo2p,14,radial_bar_chart,40.84507042,20,4.390259801
GCYo2p,15,bar_chart,41.37931034,42,-0.4233527675
GCYo2p,16,radial_bar_chart,52.43902439,50,1.358409986
GCYo2p,17,radial_bar_chart,87.71929825,90,1.266457796
GCYo2p,18,pie_chart,48.14814815,50,0.9832047575
GCYo2p,19,pie_chart,87.5,80,2.930737338
GCYo2p,20,radial_bar_chart,33.33333333,45,3.559695742
GCYo2p,21,radial_bar_chart,96.77419355,90,2.786427734
GCYo2p,22,radial_bar_chart,17.5,20,1.392317423
GCYo2p,23,pie_chart,78.49462366,85,2.729090761
GCYo2p,24,radial_bar_chart,49.33333333,70,4.377933505
GCYo2p,25,radial_bar_chart,82.10526316,90,3.003554897
GCYo2p,26,radial_bar_chart,22.85714286,40,4.110017157
GCYo2p,27,pie_chart,22.91666667,25,1.142957954
GCYo2p,28,pie_chart,68.62745098,90,4.426100279
GCYo2p,29,bar_chart,75,85,3.339850003
GCYo2p,30,pie_chart,41.83673469,45,1.717326704
GCYo2p,31,pie_chart,61.53846154,70,3.102076647
GCYo2p,32,pie_chart,49.48453608,60,3.411489148
GCYo2p,33,bar_chart,83.90804598,85,0.2832746635
GCYo2p,34,pie_chart,77.77777778,90,3.626114607
GCYo2p,35,pie_chart,64.47368421,75,3.412959757
GCYo2p,36,bar_chart,87.17948718,95,2.990140337
GCYo2p,37,radial_bar_chart,56.25,55,0.4594316186
GCYo2p,38,pie_chart,46,55,3.189824559
GCYo2p,39,bar_chart,21.59090909,20,0.7789731207
GCYo2p,40,radial_bar_chart,93.75,90,1.95419631
GCYo2p,41,bar_chart,66.66666667,70,1.790076931
GCYo2p,42,pie_chart,15.58441558,10,2.513343079
GCYo2p,43,bar_chart,42.1875,40,1.209453366
GCYo2p,44,bar_chart,60.52631579,70,3.262836654
GCYo2p,45,bar_chart,91.01123596,90,0.1842624615
GCYo2p,46,pie_chart,66.66666667,70,1.790076931
GCYo2p,47,bar_chart,44.7761194,40,2.293111295
GCYo2p,48,radial_bar_chart,53.08641975,55,1.027564748
GCYo2p,49,pie_chart,22.82608696,15,2.991152098
GCYo2p,50,bar_chart,57.5,65,2.930737338
GCYo2p,51,bar_chart,26.19047619,15,3.500225394
GCYo2p,52,radial_bar_chart,92.13483146,90,1.17621518
GCYo2p,53,bar_chart,81.63265306,85,1.804196887
GCYo2p,54,bar_chart,28.94736842,27,1.051280505
GCYo2p,55,pie_chart,94.73684211,95,-1.365284464
GCYo2p,56,bar_chart,64.81481481,70,2.408762174
GCYo2p,57,radial_bar_chart,28.40909091,33,2.237535908
GCYo2p,58,bar_chart,64.86486486,65,-1.942666825
GCYo2p,59,radial_bar_chart,51.57894737,45,2.745010823
GCYo2p,60,pie_chart,65.78947368,70,2.116207142
u3KgWI,1,bar_chart,51.66666667,60,3.080373416
u3KgWI,2,radial_bar_chart,78.125,44,5.098032083
u3KgWI,3,bar_chart,43.05555556,45,1.049243519
u3KgWI,4,radial_bar_chart,71.42857143,30,5.376900573
u3KgWI,5,radial_bar_chart,98.7804878,45,5.752360248
u3KgWI,6,pie_chart,39.79591837,43,1.735124247
u3KgWI,7,bar_chart,91.66666667,90,0.841302254
u3KgWI,8,radial_bar_chart,87.27272727,79,3.069998936
u3KgWI,9,bar_chart,36.36363636,33,1.802663227
u3KgWI,10,bar_chart,69.23076923,77,2.980798694
u3KgWI,11,pie_chart,73.01587302,67,2.618443771
u3KgWI,12,pie_chart,78.94736842,80,0.2358882638
u3KgWI,13,radial_bar_chart,40,45,2.357552005
u3KgWI,14,bar_chart,94.93670886,90,2.339624529
u3KgWI,15,pie_chart,30.64516129,22,3.132603375
u3KgWI,16,pie_chart,25.92592593,15,3.466095349
u3KgWI,17,pie_chart,12.5,9,1.857980995
u3KgWI,18,bar_chart,66.1971831,72,2.567500886
u3KgWI,19,pie_chart,94.44444444,95,-0.5552151573
u3KgWI,20,radial_bar_chart,28.26086957,47,4.237573694
u3KgWI,21,radial_bar_chart,61.84210526,33,4.856343615
u3KgWI,22,pie_chart,56.75675676,63,2.670895443
u3KgWI,23,pie_chart,44.06779661,38,2.630591064
u3KgWI,24,bar_chart,75.67567568,81,2.446077358
u3KgWI,25,radial_bar_chart,71.42857143,26,5.509492262
u3KgWI,26,bar_chart,56.41025641,68,3.550253472
u3KgWI,27,bar_chart,20,23,1.64385619
u3KgWI,28,radial_bar_chart,16.04938272,53,5.212398808
u3KgWI,29,bar_chart,90.90909091,78,3.704218057
u3KgWI,30,radial_bar_chart,66.26506024,55,3.509703472
u3KgWI,31,bar_chart,58.5106383,70,3.537837964
u3KgWI,32,radial_bar_chart,29.62962963,27,1.461858356
u3KgWI,33,pie_chart,94.28571429,92,1.269460675
u3KgWI,34,pie_chart,70.93023256,76,2.377059164
u3KgWI,35,radial_bar_chart,87.71929825,85,1.50807275
u3KgWI,36,pie_chart,26.08695652,25,0.2773379439
u3KgWI,37,pie_chart,51.35135135,45,2.695181256
u3KgWI,38,radial_bar_chart,69.47368421,18,5.689262372
u3KgWI,39,radial_bar_chart,77.77777778,28,5.641048219
u3KgWI,40,radial_bar_chart,93.33333333,41,5.713100067
u3KgWI,41,pie_chart,66.66666667,70,1.790076931
u3KgWI,42,bar_chart,16.04938272,17,0.105164843
u3KgWI,43,radial_bar_chart,41.37931034,37,2.171306232
u3KgWI,44,pie_chart,18.98734177,18,0.1536001309
u3KgWI,45,pie_chart,100,88,3.599912842
u3KgWI,46,bar_chart,7.352941176,17,3.288662548
u3KgWI,47,radial_bar_chart,87.36842105,39,5.59971713
u3KgWI,48,radial_bar_chart,20.45454545,33,3.663396376
u3KgWI,49,bar_chart,80,80,-3
u3KgWI,50,pie_chart,12.34567901,15,1.474732463
u3KgWI,51,pie_chart,75,80,2.357552005
u3KgWI,52,bar_chart,61.2244898,67,2.560839707
u3KgWI,53,bar_chart,35.29411765,25,3.381161202
u3KgWI,54,bar_chart,27.27272727,24,1.764570056
u3KgWI,55,radial_bar_chart,65,60,2.357552005
u3KgWI,56,bar_chart,55.78947368,62,2.663464474
u3KgWI,57,pie_chart,83.11688312,88,2.324268233
u3KgWI,58,radial_bar_chart,16.43835616,13,1.833236691
u3KgWI,59,bar_chart,24.63768116,22,1.466069071
u3KgWI,60,pie_chart,38.46153846,33,2.481954635
NPA4U3,1,radial_bar_chart,52.63157895,40,3.673169575
NPA4U3,2,bar_chart,25,25,-3
NPA4U3,3,pie_chart,21.91780822,12,3.328090834
NPA4U3,4,radial_bar_chart,34.17721519,33,0.3809678722
NPA4U3,5,pie_chart,20,10,3.339850003
NPA4U3,6,pie_chart,96,90,2.614709844
NPA4U3,7,pie_chart,63.63636364,70,2.697915317
NPA4U3,8,bar_chart,90.54054054,93,1.369862572
NPA4U3,9,pie_chart,84.74576271,90,2.42740163
NPA4U3,10,bar_chart,24,18,2.614709844
NPA4U3,11,bar_chart,45.20547945,50,2.298517719
NPA4U3,12,radial_bar_chart,21.42857143,15,2.712281331
NPA4U3,13,bar_chart,55.42168675,60,2.233677423
NPA4U3,14,bar_chart,96.05263158,90,2.627053834
NPA4U3,15,pie_chart,54.54545455,50,2.223562965
NPA4U3,16,pie_chart,68.75,60,3.14974712
NPA4U3,17,pie_chart,74.07407407,80,2.597155924
NPA4U3,18,pie_chart,85.29411765,80,2.438057968
NPA4U3,19,bar_chart,65,70,2.357552005
NPA4U3,20,bar_chart,48.27586207,50,0.8868528424
NPA4U3,21,radial_bar_chart,68.75,50,4.238404739
NPA4U3,22,pie_chart,18.75,8,3.442943496
NPA4U3,23,radial_bar_chart,87.64044944,85,1.467513965
NPA4U3,24,radial_bar_chart,30.55555556,15,3.970904769
NPA4U3,25,bar_chart,61.11111111,66,2.325930025
NPA4U3,26,radial_bar_chart,23.07692308,24,0.06774460664
NPA4U3,27,bar_chart,72.4137931,85,3.668029112
NPA4U3,28,radial_bar_chart,88.88888889,24,6.022676048
NPA4U3,29,bar_chart,19.35483871,18,0.5654399425
NPA4U3,30,radial_bar_chart,90.625,86,2.247927513
NPA4U3,31,bar_chart,51.2195122,60,3.154694638
NPA4U3,32,pie_chart,50,40,3.339850003
NPA4U3,33,bar_chart,37.70491803,38,-1.251257238
NPA4U3,34,bar_chart,17.85714286,13,2.31676639
